'' he say ''	38168.0	295.425239391
'' she say ''	18811.0	145.599564509
photo -lrb- color -rrb-	16542.0	128.037212063
say say say say	15491.0	119.902336602
be one of the	15100.0	116.875946207
do not want to	14315.0	110.79994503
in the united states	11531.0	89.2514262058
i do not know	10703.0	82.8425994866
be go to be	10501.0	81.2790934513
the end of the	9937.0	76.9136607586
at the university of	9885.0	76.5111740564
i do not think	9802.0	75.8687433587
be not go to	8914.0	68.9955089063
for the first time	8812.0	68.2060157597
one of the most	8646.0	66.9211543643
at the same time	8610.0	66.6425097244
do not have to	8534.0	66.0542599289
the rest of the	8214.0	63.5774186848
at the end of	8178.0	63.2987740448
i do not want	6696.0	51.827903033
i be go to	6598.0	51.069370402
we be go to	5906.0	45.7132012116
when it come to	5867.0	45.411336185
be a lot of	5844.0	45.2333132206
do not have a	5699.0	44.1109945318
it be hard to	5421.0	41.959238701
if you do not	5282.0	40.8833607856
on the other hand	5182.0	40.1093478968
you do not have	5081.0	39.3275948792
there be a lot	5051.0	39.0953910125
in the middle of	5022.0	38.8709272748
it be not a	4940.0	38.236236706
i think it be	4929.0	38.1510952882
in new york city	4802.0	37.1680989194
you be go to	4578.0	35.4343100486
it be go to	4427.0	34.2655505865
but it be not	4400.0	34.0565671065
i do not have	4278.0	33.1122713822
do not know what	4150.0	32.1215348846
be part of the	4128.0	31.951252049
a lot of people	4069.0	31.4945844447
turn out to be	4034.0	31.2236799336
but i do not	4029.0	31.1849792891
a member of the	4001.0	30.9682556803
do not have the	3880.0	30.0317000849
of the world 's	3841.0	29.7298350582
the new york times	3840.0	29.7220949293
'' i do not	3838.0	29.7066146716
by the end of	3833.0	29.6679140271
it be time to	3785.0	29.2963878405
the top of the	3724.0	28.8242399783
to be able to	3688.0	28.5455953384
as well as the	3646.0	28.2205099251
have a lot of	3628.0	28.0811876051
we do not have	3582.0	27.7251416763
i would like to	3490.0	27.0130498186
of the united states	3415.0	26.432540152
not be able to	3392.0	26.2545171876
and i do not	3335.0	25.813329841
the middle of the	3301.0	25.5501654588
the united states and	3290.0	25.465024041
of the nation 's	3211.0	24.8535538589
they be go to	3209.0	24.8380736011
be not the only	3115.0	24.1105014856
if you want to	3113.0	24.0950212279
be go to have	3093.0	23.9402186501
-lrb- black white -rrb-	3085.0	23.878297619
in front of the	3078.0	23.8241167168
photo -lrb- black white	3043.0	23.5532122057
he be go to	2946.0	22.8024197036
do not know how	2938.0	22.7404986725
one of the best	2889.0	22.361232357
of the university of	2854.0	22.0903278459
be part of a	2836.0	21.9510055259
the first time in	2796.0	21.6414003704
what be go on	2759.0	21.3550156016
you have get to	2698.0	20.8828677394
as a result of	2681.0	20.7512855483
executive director of the	2657.0	20.565522455
be suppose to be	2647.0	20.4881211661
it be one of	2606.0	20.1707758817
to the united states	2602.0	20.1398153662
it be easy to	2588.0	20.0314535618
go to be a	2569.0	19.8843911129
they do not have	2555.0	19.7760293085
it be not the	2537.0	19.6367069885
but it be a	2520.0	19.5051247974
the best way to	2502.0	19.3658024774
be more likely to	2491.0	19.2806610596
as well as a	2470.0	19.118118353
a few year ago	2453.0	18.9865361619
the bottom of the	2441.0	18.8936546152
it be not just	2406.0	18.6227501042
-lrb- c -rrb- copyright	2399.0	18.5685692019
will be able to	2361.0	18.2744443042
it be important to	2357.0	18.2434837887
as one of the	2349.0	18.1815627576
in the form of	2337.0	18.0886812109
not want to be	2329.0	18.0267601798
the center of the	2309.0	17.871957602
you do not want	2301.0	17.8100365709
at a time when	2295.0	17.7635957976
the christian science monitor	2292.0	17.7403754109
for a long time	2288.0	17.7094148954
for the rest of	2287.0	17.7016747665
at the top of	2276.0	17.6165333487
that there be a	2261.0	17.5004314154
in the case of	2254.0	17.4462505132
but there be a	2249.0	17.4075498688
