Filename,nwords,nsentences,nparagraphs,nlemmas,nlemma_types,ncontent_words,ncontent_types,nfunction_words,n_nouns,n_noun_types,n_verbs,n_verb_types,n_adjs,n_adj_types,n_advs,n_adv_types,n_prps,n_prp_types,n_arguments,n_argument_types,n_bigram_lemmas,n_bigram_lemma_types,n_trigram_lemmas,n_trigram_lemma_types
0E26C20CFBBE.txt,524,22,5,524,128,235,84,289,84,28,87,30,35,17,31,12,64,11,136,36,523,370,522,477
EE58A33AD551.txt,475,14,6,475,148,258,109,217,118,55,81,31,19,13,41,16,49,9,166,63,474,377,473,450
966F39486EC8.txt,334,18,5,334,95,198,68,136,59,21,76,25,39,13,24,14,39,7,89,26,333,221,332,277
090CFB3688B7.txt,726,49,7,726,193,349,136,377,188,64,72,32,38,24,61,28,67,9,245,71,725,520,724,652
C0A5C05F8801.txt,438,23,5,438,141,216,95,222,77,33,87,36,17,11,38,21,64,8,126,40,437,326,436,385
F83702EEB830.txt,337,12,5,337,127,178,96,159,63,37,68,27,27,19,21,14,44,7,104,43,336,273,335,315
9F68BAB4FB63.txt,1165,61,52,1165,204,582,159,583,276,87,173,40,78,27,55,17,93,9,348,94,1164,714,1163,993
DCEE7FD21CFD.txt,461,23,5,461,111,214,76,247,91,26,73,28,23,14,30,11,84,5,173,30,460,281,459,355
BAAFCD5BD313.txt,398,6,6,398,131,177,93,221,83,47,52,29,18,11,25,9,43,6,116,51,397,328,396,378
73D5C8D99F72.txt,434,12,10,434,189,206,135,228,60,43,75,51,24,18,52,31,78,10,135,52,433,403,432,426
8D02AC12DD48.txt,346,20,9,346,113,183,75,163,97,40,55,21,16,13,16,8,30,8,118,44,345,261,344,324
26D32FF6313F.txt,320,13,3,320,120,157,88,163,60,35,64,33,16,13,17,8,44,7,104,42,319,250,318,290
3741D275F8BC.txt,519,30,6,519,157,294,116,225,137,49,96,42,31,22,31,9,36,5,154,52,518,381,517,464
E06EDBA28C44.txt,415,24,5,415,110,232,72,183,77,24,84,26,35,18,38,11,47,6,104,28,414,266,413,325
0EFF424C1440.txt,1019,49,5,1019,189,434,132,585,145,46,189,50,37,16,66,27,234,10,345,54,1018,606,1017,831
645103593F14.txt,271,15,4,271,121,140,87,131,77,52,45,26,13,10,6,5,38,8,108,59,270,239,269,259
9E3B7D421238.txt,421,22,5,421,120,225,83,196,102,38,68,21,25,13,30,14,29,6,118,43,420,293,419,354
E45E9DC77BF4.txt,192,5,1,192,93,90,56,102,33,20,35,25,8,6,16,10,23,7,52,25,191,167,190,183
33FD540FB9EA.txt,325,12,5,325,99,163,66,162,80,28,47,22,27,12,10,6,36,8,109,34,324,210,323,243
